class,brightness_mean,brightness_std,brightness_min,brightness_max,contrast_mean,contrast_std,contrast_min,contrast_max,r_mean_mean,r_mean_std,r_mean_min,r_mean_max,g_mean_mean,g_mean_std,g_mean_min,g_mean_max,b_mean_mean,b_mean_std,b_mean_min,b_mean_max
attentive,120.18356563639948,12.397275821593103,97.1401666135204,140.04217155612244,52.32702898598948,6.547889246309799,38.53414559178523,64.38250428810909,127.08337531117519,12.415197608157204,103.2505181760204,146.9229512117347,117.84640976805125,12.529270298379005,93.59552375637755,137.75759327168367,114.08765661778752,12.914312844952066,90.83334661989795,136.67996651785714
distracted,121.73437429295443,9.632908186439622,87.91139190051021,141.54932637117346,53.13778061685237,6.390281953161232,39.95747184611499,68.85483770202437,126.68841920342832,8.902542899729164,94.56945551658163,147.15929926658163,120.09026086269458,9.89844228182924,84.6510084502551,139.9095384247449,117.2097302196932,11.361411204848862,80.39076450892857,138.40222417091837
laptop,120.91973399831424,14.775314448710516,89.95840640943878,144.40288185586735,52.99523226957856,5.357568108948087,43.17231944457778,65.90250302944096,127.2462139506753,15.094111855721057,94.61712771045919,149.59612165178572,118.7920685658218,14.800156601573667,88.51592394770408,142.4170519770408,115.24810996675717,14.649278288673878,85.22439014668367,141.12719228316325
phone,121.95029346940315,10.874339996633237,92.08868781887755,143.64008689413265,53.800398448585675,6.376665912929199,36.08982258224926,67.18680528829258,128.16673348460762,10.734408964851287,99.45587531887755,148.56246014030611,119.82656017003721,11.066603554335817,88.91083386479592,141.8475566007653,116.5363936816801,11.28792013881682,88.1361009247449,140.07180723852042
sleeping,117.00492188177502,11.443618408649266,79.8316725127551,135.82790577168367,53.01315121083727,6.712172706853656,32.73705016921665,67.02132109108176,122.37245569815215,11.388660302544551,82.9384765625,139.2520527742347,115.12302858244927,11.507862958627145,78.72867506377551,135.16420200892858,112.5907934382588,11.933392272706765,77.39377391581633,133.17348931760205
